Ref,Val,Package,PosX,PosY,Rot,Side
"Q2","AO4406A","SOP-8_L5.0-W3.8-P1.27-LS6.0-BL",45.000000,-115.000000,0.000000,top
"R1","10kΩ","R0603",85.000000,-130.000000,90.000000,top
"R2","10kΩ","R0603",114.440000,-101.110000,0.000000,top
"R3","33kΩ","R0603",110.630000,-101.110000,0.000000,top
"R4","10kΩ","R0603",36.843000,-96.030000,0.000000,top
"R5","4.7kΩ","R0603",129.680000,-98.316000,0.000000,top
"R6","1kΩ","R0603",37.000000,-110.000000,180.000000,top
"R7","10kΩ","R0603",37.986000,-99.332000,-90.000000,top
"R8","4.7kΩ","R0603",129.680000,-92.220000,0.000000,top
"R9","33Ω","R0603",151.778000,-96.665000,90.000000,top
"R10","60.4Ω","R0603",163.500000,-130.000000,-90.000000,top
"R11","10kΩ","R0603",153.302000,-93.744000,-90.000000,top
"R12","10kΩ","R0603",52.845000,-93.744000,-90.000000,top
"R13","10kΩ","R0603",252.870000,-93.744000,-90.000000,top
"R14","60.4Ω","R0603",167.000000,-130.000000,0.000000,top
"R15","60.4Ω","R0603",136.500000,-130.000000,-90.000000,top
"R24","60.4Ω","R0603",132.873000,-130.000000,180.000000,top
"R28","1kΩ","R0603",35.000000,-130.000000,90.000000,top
"R29","1kΩ","R0603",45.000000,-130.000000,90.000000,top
"R30","1kΩ","R0603",55.000000,-130.000000,90.000000,top
"R31","1kΩ","R0603",65.000000,-130.000000,90.000000,top
"R32","33Ω","R0603",146.190000,-93.744000,90.000000,top
"R33","33Ω","R0603",136.000000,-101.250000,180.000000,top
"R34","33Ω","R0603",166.000000,-117.920000,0.000000,top
"R35","33Ω","R0603",149.746000,-93.744000,90.000000,top
"R36","33Ω","R0603",132.700000,-102.250000,180.000000,top
"R37","33Ω","R0603",166.500000,-113.900000,0.000000,top
"R41","100kΩ","R0603",147.968000,-93.744000,-90.000000,top
"R42","100kΩ","R0603",47.892000,-93.744000,-90.000000,top
"R43","100kΩ","R0603",247.891500,-93.744000,-90.000000,top
"R45","10kΩ","R0603",151.524000,-93.744000,-90.000000,top
"R46","10kΩ","R0603",51.194000,-93.744000,-90.000000,top
"R47","10kΩ","R0603",251.219000,-93.744000,-90.000000,top
"R49","10kΩ","R0603",75.000000,-122.499750,0.000000,top
"R60","10kΩ","R0603",81.440000,-89.880000,0.000000,top
"R61","10kΩ","R0603",229.000000,-90.070000,0.000000,top
"SW1","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",40.000000,-130.000000,0.000000,top
"SW2","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",50.000000,-130.000000,0.000000,top
"SW3","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",60.000000,-130.000000,0.000000,top
"SW4","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",70.000000,-130.000000,0.000000,top
"SW6","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",80.000000,-130.000000,0.000000,top
"SW7","HX TS4538CJ 250gf 009","SW-TH_4P-L4.5-W4.5-P3.00-LS5.0",90.000000,-130.000000,0.000000,top
"U1","STM32H755ZIT6","LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL",150.000000,-110.000000,90.000000,top
"U2","W25Q256JVEIQ","WSON-8_L8.0-W6.0-P1.27-TL-EP",174.090000,-107.206000,180.000000,top
"U3","TPS563201DDCR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",109.360000,-106.190000,90.000000,top
"U4","CH224K","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP",38.000000,-105.000000,0.000000,top
"U5","LM74700QDBVRQ1","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",31.000000,-108.000000,-90.000000,top
"U6","LM74700QDBVRQ1","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",31.000000,-112.000000,-90.000000,top
"U7","FM24CL64B-GTR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",135.000000,-95.000000,-90.000000,top
"U8","TJA1051T/3/1J","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",185.000000,-130.000000,90.000000,top
"U9","TJA1051T/3/1J","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",115.000000,-129.238000,90.000000,top
"U11","AW9523BTQR","AW9523BTQR",85.000000,-95.000000,-90.000000,top
"U12","AW9523BTQR","AW9523BTQR",227.000000,-100.000000,90.000000,top
"USBC1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1",30.000000,-100.000000,-90.000000,top
"X1","25MHz","CRYSTAL-SMD_4P-L3.2-W2.5-BL",163.843000,-106.545500,0.000000,top
